bird_id,date_time
t3w0r,2019-04-08T09:02:08Z
t3w0r,2019-04-08T09:02:48Z
t3w0r,2019-04-08T09:03:08Z
t3w0r,2019-04-08T09:03:28Z
t3w0r,2019-04-08T09:03:48Z
j7F15,2019-04-08T09:04:06Z
t3w0r,2019-04-08T09:04:28Z
t3w0r,2019-04-08T09:05:49Z
t3w0r,2019-04-08T09:06:29Z
t3w0r,2019-04-08T09:06:49Z
c687e,2019-04-08T09:09:25Z
c687e,2019-04-08T09:09:45Z
c687e,2019-04-08T09:10:24Z
c687e,2019-04-08T09:10:44Z
j7F15,2019-04-08T09:10:52Z
f5NV7,2019-04-08T09:10:59Z
c687e,2019-04-08T09:11:03Z
j7F15,2019-04-08T09:11:12Z
t3w0r,2019-04-08T09:11:50Z
t3w0r,2019-04-08T09:12:10Z
t3w0r,2019-04-08T09:13:11Z
t3w0r,2019-04-08T09:13:31Z
t3w0r,2019-04-08T09:13:51Z
c687e,2019-04-08T09:13:59Z
t3w0r,2019-04-08T09:14:31Z
j7F15,2019-04-08T09:14:35Z
t3w0r,2019-04-08T09:14:51Z
j7F15,2019-04-08T09:14:56Z
c687e,2019-04-08T09:15:18Z
c687e,2019-04-08T09:15:38Z
c687e,2019-04-08T09:16:56Z
j7F15,2019-04-08T09:17:58Z
j7F15,2019-04-08T09:18:19Z
t3w0r,2019-04-08T09:18:52Z
t3w0r,2019-04-08T09:19:12Z
c687e,2019-04-08T09:19:13Z
t3w0r,2019-04-08T09:19:32Z
j7F15,2019-04-08T09:19:40Z
c687e,2019-04-08T09:19:52Z
c687e,2019-04-08T09:20:12Z
t3w0r,2019-04-08T09:20:13Z
c687e,2019-04-08T09:20:32Z
t3w0r,2019-04-08T09:20:33Z
t3w0r,2019-04-08T09:20:53Z
t3w0r,2019-04-08T09:21:13Z
c687e,2019-04-08T09:21:30Z
t3w0r,2019-04-08T09:21:33Z
t3w0r,2019-04-08T09:21:53Z
c687e,2019-04-08T09:22:29Z
t3w0r,2019-04-08T09:22:33Z
c687e,2019-04-08T09:23:08Z
j7F15,2019-04-08T09:23:23Z
c687e,2019-04-08T09:23:28Z
c687e,2019-04-08T09:23:48Z
t3w0r,2019-04-08T09:23:54Z
t3w0r,2019-04-08T09:24:14Z
t3w0r,2019-04-08T09:24:34Z
f5NV7,2019-04-08T09:24:59Z
c687e,2019-04-08T09:25:06Z
t3w0r,2019-04-08T09:25:14Z
f5NV7,2019-04-08T09:25:20Z
t3w0r,2019-04-08T09:25:34Z
t3w0r,2019-04-08T09:25:54Z
t3w0r,2019-04-08T09:26:34Z
t3w0r,2019-04-08T09:26:55Z
j7F15,2019-04-08T09:27:06Z
t3w0r,2019-04-08T09:27:15Z
c687e,2019-04-08T09:27:23Z
t3w0r,2019-04-08T09:27:35Z
t3w0r,2019-04-08T09:27:55Z
c687e,2019-04-08T09:28:02Z
j7F15,2019-04-08T09:28:07Z
t3w0r,2019-04-08T09:28:15Z
c687e,2019-04-08T09:29:01Z
j7F15,2019-04-08T09:30:09Z
c687e,2019-04-08T09:30:39Z
j7F15,2019-04-08T09:30:49Z
c687e,2019-04-08T09:30:59Z
c687e,2019-04-08T09:31:18Z
c687e,2019-04-08T09:31:38Z
c687e,2019-04-08T09:32:37Z
j7F15,2019-04-08T09:33:12Z
j7F15,2019-04-08T09:33:32Z
c687e,2019-04-08T09:33:35Z
c687e,2019-04-08T09:34:15Z
f5NV7,2019-04-08T09:35:20Z
f5NV7,2019-04-08T09:35:40Z
j7F15,2019-04-08T09:35:54Z
f5NV7,2019-04-08T09:35:59Z
f5NV7,2019-04-08T09:36:20Z
f5NV7,2019-04-08T09:36:40Z
c687e,2019-04-08T09:36:51Z
f5NV7,2019-04-08T09:36:59Z
f5NV7,2019-04-08T09:37:20Z
c687e,2019-04-08T09:37:31Z
j7F15,2019-04-08T09:37:35Z
f5NV7,2019-04-08T09:37:40Z
j7F15,2019-04-08T09:37:56Z
f5NV7,2019-04-08T09:37:59Z
f5NV7,2019-04-08T09:38:20Z
f5NV7,2019-04-08T09:38:40Z
