record_id,date,plot_id,sex,hindfoot_length,species
1,1977-07-16,b,M,32,Neotoma albigula
2,1977-07-16,c,M,33,Neotoma albigula
3,1977-07-16,b,F,37,Dipodomys merriami
4,1977-07-16,g,M,36,Dipodomys merriami
5,1977-07-16,c,M,35,Dipodomys merriami
6,1977-07-16,a,M,14,Perognathus flavus
7,1977-07-16,b,F,NA,Peromyscus eremicus
8,1977-07-16,a,M,37,Dipodomys merriami
9,1977-07-16,a,F,34,Dipodomys merriami
10,1977-07-16,f,F,20,Perognathus flavus
11,1977-07-16,e,F,53,Dipodomys spectabilis
12,1977-07-16,g,M,38,Dipodomys merriami
13,1977-07-16,c,M,35,Dipodomys merriami
14,1977-07-16,h,NA,NA,Dipodomys merriami
15,1977-07-16,f,F,36,Dipodomys merriami
16,1977-07-16,d,F,36,Dipodomys merriami
17,1977-07-16,c,F,48,Dipodomys spectabilis
18,1977-07-16,b,M,22,Chaetodipus penicillatus
19,1977-07-16,d,NA,NA,Perognathus flavus
20,1977-07-17,k,F,48,Dipodomys spectabilis
21,1977-07-17,n,F,34,Dipodomys merriami
22,1977-07-17,o,F,31,Neotoma albigula
23,1977-07-17,m,M,36,Dipodomys merriami
24,1977-07-17,m,M,21,Sigmodon hispidus
25,1977-07-17,i,M,35,Dipodomys merriami
26,1977-07-17,o,M,31,Dipodomys merriami
27,1977-07-17,o,M,36,Dipodomys merriami
28,1977-07-17,k,M,38,Dipodomys merriami
29,1977-07-17,k,M,NA,Chaetodipus penicillatus
30,1977-07-17,j,F,52,Dipodomys spectabilis
31,1977-07-17,o,F,37,Dipodomys merriami
32,1977-07-17,j,F,35,Dipodomys merriami
33,1977-07-17,k,F,36,Dipodomys merriami
34,1977-07-17,q,NA,NA,Dipodomys merriami
35,1977-07-17,m,F,38,Dipodomys merriami
36,1977-07-17,p,F,22,Onychomys torridus
37,1977-07-17,k,F,35,Dipodomys merriami
38,1977-07-17,q,M,33,Neotoma albigula
39,1977-07-17,k,F,36,Dipodomys merriami
40,1977-07-18,t,M,36,Dipodomys merriami
41,1977-07-18,w,F,34,Dipodomys merriami
42,1977-07-18,r,F,46,Dipodomys spectabilis
43,1977-07-18,u,M,36,Dipodomys merriami
44,1977-07-18,r,F,35,Dipodomys merriami
45,1977-07-18,v,M,36,Dipodomys merriami
46,1977-07-18,s,M,35,Dipodomys merriami
47,1977-07-18,r,M,32,Dipodomys merriami
48,1977-07-18,t,F,36,Dipodomys merriami
49,1977-07-18,l,F,17,Chaetodipus penicillatus
50,1977-07-18,r,F,32,Dipodomys merriami
51,1977-07-18,u,F,36,Dipodomys merriami
52,1977-07-18,l,F,26,Dipodomys merriami
53,1977-07-18,v,M,36,Dipodomys merriami
54,1977-07-18,r,M,37,Dipodomys merriami
55,1977-07-18,w,M,36,Dipodomys merriami
56,1977-07-18,t,M,34,Dipodomys merriami
57,1977-07-18,v,NA,NA,Dipodomys merriami
58,1977-07-18,l,M,45,Dipodomys spectabilis
59,1977-07-18,s,M,33,Dipodomys merriami
60,1977-07-18,s,M,20,Peromyscus eremicus
61,1977-07-18,w,M,35,Dipodomys merriami
62,1977-07-18,s,M,35,Dipodomys merriami
63,1977-08-19,c,M,35,Dipodomys merriami
64,1977-08-19,g,M,37,Dipodomys merriami
65,1977-08-19,d,F,34,Dipodomys merriami
66,1977-08-19,d,F,35,Dipodomys merriami
67,1977-08-19,g,M,35,Dipodomys merriami
68,1977-08-19,h,F,32,Dipodomys ordii
69,1977-08-19,b,M,15,Perognathus flavus
70,1977-08-19,c,F,21,Onychomys sp.
71,1977-08-19,g,F,36,Dipodomys merriami
72,1977-08-19,b,M,31,Neotoma albigula
73,1977-08-19,c,F,44,Dipodomys spectabilis
74,1977-08-19,h,M,12,Perognathus flavus
75,1977-08-19,h,F,32,Dipodomys merriami
76,1977-08-19,i,F,47,Dipodomys spectabilis
77,1977-08-19,d,NA,NA,Spermophilus spilosoma
78,1977-08-19,a,M,16,Perognathus flavus
79,1977-08-19,g,F,34,Dipodomys merriami
80,1977-08-19,a,M,48,Dipodomys spectabilis
81,1977-08-19,d,F,14,Perognathus flavus
82,1977-08-19,d,F,35,Dipodomys merriami
83,1977-08-20,f,F,37,Dipodomys merriami
84,1977-08-20,s,F,35,Dipodomys merriami
85,1977-08-20,w,F,35,Dipodomys merriami
86,1977-08-20,r,F,33,Dipodomys merriami
87,1977-08-20,e,F,11,Perognathus flavus
88,1977-08-20,r,F,35,Dipodomys merriami
89,1977-08-20,l,F,20,Chaetodipus penicillatus
90,1977-08-20,r,M,35,Dipodomys merriami
91,1977-08-20,k,F,50,Dipodomys spectabilis
92,1977-08-20,f,M,35,Dipodomys merriami
93,1977-08-20,r,NA,NA,Dipodomys merriami
94,1977-08-20,r,F,36,Dipodomys merriami
95,1977-08-20,w,M,38,Dipodomys merriami
96,1977-08-20,l,M,36,Dipodomys merriami
97,1977-08-20,r,M,36,Dipodomys merriami
98,1977-08-20,e,M,38,Dipodomys merriami
99,1977-08-20,k,M,37,Dipodomys merriami
100,1977-08-20,e,F,54,Dipodomys spectabilis
101,1977-08-20,e,F,35,Dipodomys merriami
102,1977-08-20,w,F,35,Dipodomys merriami
103,1977-08-20,r,F,35,Dipodomys merriami
104,1977-08-20,k,M,43,Dipodomys spectabilis
105,1977-08-20,s,M,35,Dipodomys merriami
106,1977-08-20,l,NA,NA,Neotoma albigula
107,1977-08-20,r,NA,NA,Neotoma albigula
108,1977-08-20,k,M,21,Chaetodipus penicillatus
109,1977-08-20,f,M,35,Dipodomys merriami
110,1977-08-20,j,NA,NA,Dipodomys spectabilis
111,1977-08-20,k,F,37,Dipodomys merriami
112,1977-08-20,w,M,37,Dipodomys merriami
113,1977-08-20,e,F,13,Perognathus flavus
114,1977-08-21,o,F,32,Dipodomys merriami
115,1977-08-21,u,M,34,Dipodomys merriami
116,1977-08-21,m,F,37,Dipodomys merriami
117,1977-08-21,u,F,19,Onychomys sp.
118,1977-08-21,q,M,33,Dipodomys merriami
119,1977-08-21,t,M,35,Dipodomys merriami
120,1977-08-21,t,M,35,Dipodomys merriami
121,1977-08-21,o,NA,NA,Neotoma albigula
122,1977-08-21,v,F,33,Dipodomys merriami
123,1977-08-21,q,M,37,Dipodomys merriami
124,1977-08-21,n,M,36,Dipodomys merriami
125,1977-08-21,v,M,35,Dipodomys merriami
126,1977-08-21,t,F,30,Dipodomys merriami
127,1977-08-21,n,M,33,Dipodomys merriami
128,1977-08-21,o,M,34,Dipodomys merriami
129,1977-08-21,n,F,34,Dipodomys merriami
130,1977-08-21,p,F,34,Dipodomys merriami
131,1977-08-21,v,M,37,Dipodomys merriami
132,1977-08-21,v,F,33,Dipodomys merriami
133,1977-08-21,o,M,37,Dipodomys merriami
134,1977-08-21,q,F,45,Dipodomys spectabilis
135,1977-08-21,o,F,35,Dipodomys merriami
136,1977-08-21,m,F,16,Perognathus flavus
137,1977-08-21,t,F,35,Dipodomys merriami
138,1977-08-21,v,M,37,Dipodomys merriami
139,1977-08-21,n,M,15,Perognathus flavus
140,1977-08-21,t,M,33,Dipodomys merriami
141,1977-08-21,p,M,36,Dipodomys merriami
142,1977-08-21,q,F,34,Dipodomys merriami
143,1977-08-21,o,M,35,Dipodomys merriami
144,1977-08-21,o,M,40,Dipodomys spectabilis
145,1977-08-21,m,F,37,Dipodomys merriami
146,1977-08-21,m,F,36,Dipodomys merriami
147,1977-08-21,m,M,37,Dipodomys merriami
148,1977-08-21,n,M,37,Dipodomys merriami
149,1977-08-21,t,M,50,Dipodomys spectabilis
150,1977-08-21,u,M,35,Dipodomys merriami
151,1977-08-21,m,M,35,Dipodomys merriami
152,1977-08-21,n,M,38,Dipodomys merriami
153,1977-08-21,p,F,50,Dipodomys spectabilis
154,1977-08-21,t,F,47,Dipodomys spectabilis
