id,region,spp,date,mass,wing,sex
b264-7018g,Atlanta,Carolina,2015-04-21,9.7,60,M
b764-5255i,Atlanta,Carolina,2015-04-30,8.8,52,F
e618-6927o,Atlanta,Carolina,2015-04-30,8.5,58,F
w194-2593e,Atlanta,Carolina,2015-04-30,9.7,64,M
c745-9530g,Atlanta,Carolina,2015-04-30,9.6,63,F
z245-7007j,Atlanta,Carolina,2015-04-30,8.4,58,F
r356-5264b,Atlanta,Carolina,2015-04-30,9.2,60,M
w954-5845p,Atlanta,Carolina,2015-05-06,9.6,61,M
b554-9549t,Atlanta,Carolina,2015-05-06,9.8,59,M
k552-8285z,Atlanta,Carolina,2015-05-06,8.8,59,F
h952-6370e,Atlanta,Carolina,2015-05-07,8.3,59,F
e338-2440l,Atlanta,Carolina,2015-05-07,8.7,61,M
e377-1726d,Atlanta,Carolina,2015-05-15,9,55,F
p920-3993l,Atlanta,Carolina,2015-05-22,9.5,65,M
n592-3454f,Atlanta,Carolina,2015-05-26,7.8,58,F
l895-7332b,Atlanta,Carolina,2015-05-26,8.4,58,F
w264-7136c,Atlanta,Carolina,2015-05-30,9.7,59,F
c494-8768j,Atlanta,Carolina,2015-05-30,8.5,59,M
z420-8514d,Atlanta,Carolina,2015-05-30,9.4,62,M
k601-4377z,Atlanta,Carolina,2015-05-30,9.3,60,F
g255-7149m,Atlanta,Carolina,2015-06-01,9.8,65,M
y649-6554d,Atlanta,Carolina,2015-06-01,10.3,60,M
j828-9298j,Atlanta,Carolina,2015-06-03,8.7,56,F
c963-3525j,Atlanta,Carolina,2015-06-06,9.6,56,F
d380-7713s,Atlanta,Carolina,2015-06-06,9.3,59,F
z874-8804z,Atlanta,Carolina,2015-06-06,10.6,61,M
g796-6334y,Atlanta,Carolina,2015-06-06,9.4,62,F
i692-2904r,Atlanta,Carolina,2015-06-06,9.8,61,F
k372-3299n,Atlanta,Carolina,2015-06-07,8,60,F
i289-4851t,Atlanta,Carolina,2015-06-07,7.6,56,F
c462-6074q,Atlanta,Carolina,2015-06-14,9.1,58,F
