datetime,scientific_name,user,place_guess,longitude,latitude,image_url,quality_grade,description
2021-02-17T21:13:00Z,Magicicada septendecim,asheikh,"Chester County, PA, USA",-75.8302221772,40.1433541428,https://inaturalist-open-data.s3.amazonaws.com/photos/225127947/medium.jpg,research,
2021-02-09T14:56:00Z,Magicicada,samhedrick,"Davidson County, NC, USA",-80.2757679062,35.7403497564,https://inaturalist-open-data.s3.amazonaws.com/photos/123677790/medium.jpg,casual,they can be found throughout the world. The adults can live up to about 4-7 years and emerge for an annual mating season then die off after it ends where then the new larva burrow into the ground and mature for about 13 to 17 years. They can grow up to about 2- 5 cm long
2021-02-27T16:00:50Z,Magicicada,neuererw,"Silvoor Ln, Oxford, OH, US",-84.7340263471,39.497969129,https://inaturalist-open-data.s3.amazonaws.com/photos/115209824/medium.jpg,research,
2021-03-27T14:11:12Z,Magicicada,chamelea,"Tapawingo Rd SW, Vienna, VA, US",-77.255775,38.8939616667,https://inaturalist-open-data.s3.amazonaws.com/photos/143359622/medium.jpg,research,"Taken back in March, seen after flipping a rock."
2021-03-30T14:58:05Z,Magicicada,perryrg,"Conrad Formal Gardens, Oxford, OH, US",-84.7297252458,39.5141290925,https://inaturalist-open-data.s3.amazonaws.com/photos/126271310/medium.jpg,research,
2021-03-09T14:04:13Z,Magicicada,darren_winffel,"Colesville, MD, USA",-76.9839429722,39.101168,https://static.inaturalist.org/photos/124446421/medium.jpeg,research,
2021-03-21T16:04:00Z,Magicicada,gehrig8,"Union County, GA, USA",-84.0661861111,34.9509861111,https://inaturalist-open-data.s3.amazonaws.com/photos/122335788/medium.jpeg,research,"Order: Hemiptera
Habitat: Under rock in garden (rural)"
2021-03-27T14:34:16Z,Magicicada,andrew1119,"Douglas Park, Arlington, VA 22204, USA",-77.0930929722,38.853543,https://static.inaturalist.org/photos/119826317/medium.jpeg,research,
2021-03-25T16:10:57Z,Magicicada,graytreefrog,"Powhatan Springs Park, Arlington, VA, US",-77.139010345,38.8726825117,https://inaturalist-open-data.s3.amazonaws.com/photos/118662695/medium.jpg,research,
2021-03-25T16:06:19Z,Magicicada,graytreefrog,"Powhatan Springs Park, Arlington, VA, US",-77.138412388,38.8728899111,https://inaturalist-open-data.s3.amazonaws.com/photos/118662112/medium.jpg,research,
2021-03-25T15:30:58Z,Magicicada,graytreefrog,"Sixth St N, Arlington, VA, US",-77.1385166069,38.8727136975,https://inaturalist-open-data.s3.amazonaws.com/photos/118656598/medium.jpg,research,
2021-03-21T17:18:58Z,Magicicada,graytreefrog,"Bluemont Park, Arlington, VA, US",-77.1302862523,38.868570527,https://inaturalist-open-data.s3.amazonaws.com/photos/118580660/medium.jpg,research,
2021-03-30T14:15:00Z,Magicicada,christopher_anderson,"Maryland, US",-77.1713586724,39.0808812364,https://static.inaturalist.org/photos/118489394/medium.jpeg,research,"Was underneath a bag of mulch 
"
2021-03-30T11:30:50Z,Magicicada,jhoban,"Crabbs Branch Way & Moccasin Ln, Derwood, MD 20855, USA",-77.1561626717,39.1202743553,https://inaturalist-open-data.s3.amazonaws.com/photos/118302895/medium.jpeg,research,
2021-03-30T14:57:50Z,Magicicada,shelbie0121,Oxford,-84.74523101,39.5069910282,https://static.inaturalist.org/photos/118285304/medium.jpeg,research,
2021-03-31T08:20:28Z,Magicicada,ttipping,"Doral Dr, Wilmington, DE, US",-75.7006533333,39.7295716667,https://static.inaturalist.org/photos/118254454/medium.jpg,research,
2021-03-30T16:35:05Z,Magicicada,imasongster,"Great Falls, VA, USA",-77.3201739722,39.0534899722,https://static.inaturalist.org/photos/118205229/medium.jpeg,research,
2021-03-30T15:46:38Z,Magicicada,trevorogilvie,"Cecilia Ct, Cincinnati, OH, US",-84.61058,39.1898916667,https://static.inaturalist.org/photos/118161127/medium.jpg,research,
2021-03-30T11:20:25Z,Magicicada,jhoban,"Derwood, MD 20855, USA",-77.1549861111,39.119925,https://inaturalist-open-data.s3.amazonaws.com/photos/118121208/medium.jpeg,research,
2021-03-29T12:31:29Z,Magicicada,tcrimmins,"Lakeside Dr, Clarksville, MD, US",-76.9919651548,39.2094116626,https://inaturalist-open-data.s3.amazonaws.com/photos/117997344/medium.jpg,research,"Dip netted from the water. It appears immature, the wings weren’t big enough for flight."
2021-03-28T14:01:33Z,Magicicada,soooofa,"Palisades, Washington, DC, US",-77.1010757405,38.9153568099,https://inaturalist-open-data.s3.amazonaws.com/photos/117857246/medium.jpg,research,Fifth instar nymph found in soil
2021-03-27T11:34:19Z,Magicicada,sychen,"Rockville, MD, USA",-77.1741354444,39.0808128611,https://inaturalist-open-data.s3.amazonaws.com/photos/117631147/medium.jpeg,research,
2021-03-26T10:01:41Z,Magicicada,jorbogmont,"38th Ave, Hyattsville, MD, US",-76.9540033333,38.9542583333,https://static.inaturalist.org/photos/117489801/medium.jpg,research,
2021-03-24T16:15:00Z,Magicicada,lfawkslapole,"Norbeck Rd & Gude Dr, Rockville, MD 20850, USA",-77.1297764406,39.0884499051,https://static.inaturalist.org/photos/117281151/medium.jpeg,research,"Found under a rock
2 individuals "
2021-03-24T09:18:45Z,Magicicada,taco2000,"Caldwell Woods (Cook County Forest Preserve), Niles, IL, US",-87.791175,42.0108027833,https://inaturalist-open-data.s3.amazonaws.com/photos/117232277/medium.jpg,research,
2021-03-23T12:26:56Z,Magicicada,lecreusette,"Virginia, US",-77.3093413255,38.6038686448,https://static.inaturalist.org/photos/117103313/medium.jpeg,research,Came out of the ground as I was digging out my day lilies
2021-03-23T12:42:57Z,Magicicada,cebalrai,"Reading Rd, Evendale, OH, US",-84.4206083333,39.2436216667,https://inaturalist-open-data.s3.amazonaws.com/photos/117108799/medium.jpg,research,
2021-03-21T13:31:43Z,Magicicada,groutta,"N Monroe St, Arlington, VA, US",-77.1049583333,38.8860033333,https://inaturalist-open-data.s3.amazonaws.com/photos/116812206/medium.jpg,research,
2021-03-21T13:18:07Z,Magicicada,dwightholmes,"Riverdale Rd & 48th Ave, Riverdale Park, MD 20737, USA",-76.93354667,38.96190947,https://inaturalist-open-data.s3.amazonaws.com/photos/116810247/medium.jpeg,research,"find in garden, 8"" deep"
2021-03-19T15:41:49Z,Magicicada,lukose,"West Mansfield, OH, US",-83.51358,40.3790366667,https://inaturalist-open-data.s3.amazonaws.com/photos/116650247/medium.jpg,research,
2021-03-19T12:43:52Z,Magicicada,david880,"Marlboro, MD, USA",-76.7290916667,38.7689138889,https://static.inaturalist.org/photos/116595865/medium.jpeg,research,
2021-03-14T17:59:57Z,Magicicada,willknit,"Columbia Pike, Silver Spring, MD, US",-77.0038388833,39.0301445,https://inaturalist-open-data.s3.amazonaws.com/photos/116447786/medium.jpg,research,
2021-03-14T13:23:02Z,Magicicada,naturejedi,"Anne Tucker Ln, Alexandria, VA, US",-77.0858083333,38.71815,https://static.inaturalist.org/photos/116007506/medium.jpg,research,
2021-03-11T17:02:37Z,Magicicada,izafarr,"Seneca Regional Park, Great Falls, VA, US",-77.32032,39.0534888333,https://inaturalist-open-data.s3.amazonaws.com/photos/115577073/medium.jpg,research,
2021-03-11T17:35:08Z,Magicicada,omarshehab,"42nd Ave & Nicholson St, Hyattsville, MD 20781, USA",-76.94719,38.9584189722,https://static.inaturalist.org/photos/115569558/medium.jpeg,research,Found this in our backyard
2021-03-09T08:51:57Z,Magicicada,lloydster,"MacCracken Hall, Oxford, OH 45056, USA",-84.7358131036,39.5038885944,https://inaturalist-open-data.s3.amazonaws.com/photos/115301564/medium.jpeg,research,
2021-03-08T20:41:19Z,Magicicada,cowturtle,"Sherbourne Dr, Erlanger, KY, US",-84.5615533333,38.9808116667,https://inaturalist-open-data.s3.amazonaws.com/photos/115257923/medium.jpg,research,
